week_num,avg_temp,city,country,lat,lon
1,8.14,Bremen,Germany,53.08,8.8
1,5.66,Krakau,Poland,50.08,19.92
1,-13.3,Saskatoon,Canada,52.13,-106.67
1,14.84,Rio Gallegos,Argentina,-51.63,-69.22
1,8.07,Dublin,Ireland,53.33,-6.25
1,8.86,Amsterdam,Netherlands,52.37,4.89
1,7.69,Berlin,Germany,52.52,13.4
1,-18.43,Irkutsk,Russia,52.27,104.33
1,-2.6,Minsk,Belarus,53.9,27.57
1,7.96,Birmingham,United Kingdom,52.49,-1.86
1,9.41,London,United Kingdom,51.52,-0.11
2,7.31,Dublin,Ireland,53.33,-6.25
2,-10.94,Saskatoon,Canada,52.13,-106.67
2,-19.09,Irkutsk,Russia,52.27,104.33
2,6.63,Bremen,Germany,53.08,8.8
2,8.04,London,United Kingdom,51.52,-0.11
2,14.84,Rio Gallegos,Argentina,-51.63,-69.22
2,6.6,Birmingham,United Kingdom,52.49,-1.86
2,6.96,Berlin,Germany,52.52,13.4
2,7.46,Amsterdam,Netherlands,52.37,4.89
2,-1.63,Minsk,Belarus,53.9,27.57
2,4.63,Krakau,Poland,50.08,19.92
3,1.54,Bremen,Germany,53.08,8.8
3,-22.94,Irkutsk,Russia,52.27,104.33
3,-8.96,Saskatoon,Canada,52.13,-106.67
3,1.43,Berlin,Germany,52.52,13.4
3,1.0,Birmingham,United Kingdom,52.49,-1.86
3,3.94,Dublin,Ireland,53.33,-6.25
3,2.21,Amsterdam,Netherlands,52.37,4.89
3,0.66,Krakau,Poland,50.08,19.92
3,1.24,London,United Kingdom,51.52,-0.11
3,15.43,Rio Gallegos,Argentina,-51.63,-69.22
3,1.11,Minsk,Belarus,53.9,27.57
4,0.51,Berlin,Germany,52.52,13.4
4,-2.17,Minsk,Belarus,53.9,27.57
4,-12.5,Saskatoon,Canada,52.13,-106.67
4,3.47,London,United Kingdom,51.52,-0.11
4,6.69,Dublin,Ireland,53.33,-6.25
4,3.36,Birmingham,United Kingdom,52.49,-1.86
4,-19.93,Irkutsk,Russia,52.27,104.33
4,-0.83,Krakau,Poland,50.08,19.92
4,14.3,Rio Gallegos,Argentina,-51.63,-69.22
4,1.19,Bremen,Germany,53.08,8.8
4,2.74,Amsterdam,Netherlands,52.37,4.89
5,15.07,Rio Gallegos,Argentina,-51.63,-69.22
5,4.87,Bremen,Germany,53.08,8.8
5,-2.99,Minsk,Belarus,53.9,27.57
5,-0.4,Krakau,Poland,50.08,19.92
5,7.11,London,United Kingdom,51.52,-0.11
5,3.31,Berlin,Germany,52.52,13.4
5,7.76,Dublin,Ireland,53.33,-6.25
5,6.69,Birmingham,United Kingdom,52.49,-1.86
5,-15.73,Irkutsk,Russia,52.27,104.33
5,6.97,Amsterdam,Netherlands,52.37,4.89
5,-18.1,Saskatoon,Canada,52.13,-106.67
6,3.86,Amsterdam,Netherlands,52.37,4.89
6,4.11,Birmingham,United Kingdom,52.49,-1.86
6,4.59,London,United Kingdom,51.52,-0.11
6,2.74,Bremen,Germany,53.08,8.8
6,14.33,Rio Gallegos,Argentina,-51.63,-69.22
6,-2.94,Krakau,Poland,50.08,19.92
6,-4.5,Saskatoon,Canada,52.13,-106.67
6,-4.29,Minsk,Belarus,53.9,27.57
6,1.74,Berlin,Germany,52.52,13.4
6,-16.81,Irkutsk,Russia,52.27,104.33
6,7.0,Dublin,Ireland,53.33,-6.25
7,7.67,Amsterdam,Netherlands,52.37,4.89
7,-0.56,Minsk,Belarus,53.9,27.57
7,6.0,Berlin,Germany,52.52,13.4
7,-11.41,Saskatoon,Canada,52.13,-106.67
7,9.46,Rio Gallegos,Argentina,-51.63,-69.22
7,-13.99,Irkutsk,Russia,52.27,104.33
7,9.36,Dublin,Ireland,53.33,-6.25
7,3.84,Krakau,Poland,50.08,19.92
7,8.14,Birmingham,United Kingdom,52.49,-1.86
7,9.16,London,United Kingdom,51.52,-0.11
7,6.4,Bremen,Germany,53.08,8.8
8,4.43,Krakau,Poland,50.08,19.92
8,-10.94,Irkutsk,Russia,52.27,104.33
8,5.1,Berlin,Germany,52.52,13.4
8,-21.69,Saskatoon,Canada,52.13,-106.67
8,-2.57,Minsk,Belarus,53.9,27.57
